round,player_move,ai_move,winner
1,3.0,2,Player
2,2.0,2,Draw
3,3.0,2,Player
4,1.0,3,Player
5,2.0,2,Draw
6,3.0,1,AI
7,2.0,2,Draw
8,3.0,1,AI
9,2.0,3,AI
10,1.0,1,Draw
11,2.0,3,AI
12,2.0,1,Player
13,2.0,1,Player
14,3.0,1,AI
15,2.0,3,AI
16,3.0,1,AI
17,2.0,3,AI
18,2.0,1,Player
19,2.0,1,Player
20,3.0,1,AI
21,1.0,3,Player
22,2.0,3,AI
23,3.0,1,AI
24,1.0,3,Player
25,2.0,3,AI
26,2.0,1,Player
27,3.0,1,AI
28,2.0,3,AI
29,2.0,2,Draw
30,3.0,1,AI
31,2.0,3,AI
32,1.0,1,Draw
33,3.0,3,Draw
34,2.0,3,AI
35,3.0,1,AI
36,2.0,3,AI
37,1.0,1,Draw
38,,3,Draw
39,1.0,3,Player
40,2.0,3,AI
41,3.0,1,AI
42,2.0,3,AI
43,3.0,1,AI
44,2.0,3,AI
45,2.0,2,Draw
46,2.0,1,Player
47,3.0,1,AI
48,2.0,3,AI
49,3.0,1,AI
50,2.0,3,AI
51,3.0,1,AI
52,3.0,3,Draw
53,1.0,3,Player
54,2.0,3,AI
55,1.0,1,Draw
56,3.0,3,Draw
57,2.0,3,AI
58,2.0,3,AI
59,2.0,1,Player
60,3.0,1,AI
61,2.0,3,AI
62,3.0,1,AI
63,1.0,3,Player
64,1.0,3,Player
65,2.0,3,AI
66,1.0,1,Draw
67,2.0,3,AI
68,3.0,1,AI
69,2.0,3,AI
70,3.0,1,AI
71,2.0,3,AI
72,1.0,1,Draw
73,3.0,3,Draw
74,2.0,3,AI
75,2.0,1,Player
76,2.0,1,Player
77,3.0,1,AI
